"","order","geometry"
"11283","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11380","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11486","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11581","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11608","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11625","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11626","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11627","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11628","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11629","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11630","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11653","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11654","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11655","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11656","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11657","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11697","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11795","Coleoptera",c(5993687.23620948, 1978110.85258929)
"11896","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11897","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11969","Coleoptera",c(5994723.61358023, 1977072.2951303)
"11998","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12014","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12015","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12016","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12017","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12018","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12019","Coleoptera",c(5994302.78840082, 1977152.96577913)
"12044","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12045","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12046","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12047","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12091","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12191","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12266","Coleoptera",c(5993712.61901559, 1977855.58799892)
"12296","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12383","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12410","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12429","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12430","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12431","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12432","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12433","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12434","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12435","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12458","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12459","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12460","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12461","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12607","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12608","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12795","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12826","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12827","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12843","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12844","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12845","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12846","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12847","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12848","Coleoptera",c(5993687.23620948, 1978110.85258929)
"12872","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12873","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12874","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12875","Coleoptera",c(5994723.61358023, 1977072.2951303)
"12917","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13007","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13008","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13082","Coleoptera",c(5993712.61901559, 1977855.58799892)
"13112","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13141","Coleoptera",c(5995250.54812962, 1977826.81028679)
"13192","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13218","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13233","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13234","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13235","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13236","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13237","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13238","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13239","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13261","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13262","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13404","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13469","Coleoptera",c(5993712.61901559, 1977855.58799892)
"13495","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13580","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13622","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13623","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13624","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13625","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13626","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13627","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13628","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13629","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13649","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13650","Coleoptera",c(5994723.61358023, 1977072.2951303)
"13803","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13804","Coleoptera",c(5993687.23620948, 1978110.85258929)
"13911","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"13912","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14100","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"14101","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14102","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14280","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14281","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"14395","Coleoptera",c(5994302.78840082, 1977152.96577913)
"14464","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14466","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"14592","Hymenoptera",c(5995429.28861293, 1977819.10295394)
"14645","Hymenoptera",c(5995491.83737158, 1977534.027181)
"14652","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14829","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"14841","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"14842","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15031","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"15032","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15033","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15213","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15214","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"15325","Coleoptera",c(5994302.78840082, 1977152.96577913)
"15394","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"15395","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15396","Hymenoptera",c(5995213.93366924, 1977384.89010986)
"15574","Hymenoptera",c(5995491.83737158, 1977534.027181)
"15582","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15583","Hymenoptera",c(5994723.61358023, 1977072.2951303)
"15834","Coleoptera",c(5993712.61901559, 1977855.58799892)
"16210","Coleoptera",c(5993687.23620948, 1978110.85258929)
"16377","Coleoptera",c(5993687.23620948, 1978110.85258929)
"16540","Coleoptera",c(5993712.61901559, 1977855.58799892)
"16558","Coleoptera",c(5993687.23620948, 1978110.85258929)
"16721","Coleoptera",c(5993687.23620948, 1978110.85258929)
"16875","Coleoptera",c(5993712.61901559, 1977855.58799892)
"16894","Coleoptera",c(5993687.23620948, 1978110.85258929)
"17059","Coleoptera",c(5993687.23620948, 1978110.85258929)
"18239","Coleoptera",c(5993687.23620948, 1978110.85258929)
"18411","Coleoptera",c(5993687.23620948, 1978110.85258929)
"18572","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19090","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19093","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19111","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19148","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19152","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19159","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19169","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19205","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19273","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19284","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19294","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19309","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19315","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19325","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19356","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19365","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19366","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19381","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19395","Coleoptera",c(5995250.54812962, 1977826.81028679)
"19419","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19421","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19431","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19476","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19487","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19508","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19511","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19536","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19540","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19592","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19597","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19609","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19623","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19633","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19649","Coleoptera",c(5994723.61358023, 1977072.2951303)
"19657","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19707","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19709","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19740","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19752","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19768","Coleoptera",c(5994723.61358023, 1977072.2951303)
"19776","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19830","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19834","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19856","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19866","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19943","Coleoptera",c(5994659.89804191, 1976891.49492071)
"19950","Coleoptera",c(5993687.23620948, 1978110.85258929)
"19960","Coleoptera",c(5993712.61901559, 1977855.58799892)
"19973","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20002","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20004","Coleoptera",c(5993687.23620948, 1978110.85258929)
"20013","Coleoptera",c(5993687.23620948, 1978110.85258929)
"20040","Coleoptera",c(5994659.89804191, 1976891.49492071)
"20076","Coleoptera",c(5994659.89804191, 1976891.49492071)
"20102","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20107","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20111","Coleoptera",c(5993687.23620948, 1978110.85258929)
"20171","Coleoptera",c(5993687.23620948, 1978110.85258929)
"20179","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20187","Coleoptera",c(5994659.89804191, 1976891.49492071)
"20200","Coleoptera",c(5993712.61901559, 1977855.58799892)
"20455","Coleoptera",c(5994169.71955423, 1978101.81548325)
"20456","Coleoptera",c(5994985.95127727, 1978195.73981903)
"20522","Coleoptera",c(5996043.41777605, 1978285.18345602)
"20523","Coleoptera",c(5996043.41777605, 1978285.18345602)
"20764","Coleoptera",c(5994169.71955423, 1978101.81548325)
"20765","Coleoptera",c(5994985.95127727, 1978195.73981903)
"20830","Coleoptera",c(5996043.41777605, 1978285.18345602)
"20831","Coleoptera",c(5996043.41777605, 1978285.18345602)
"20901","Coleoptera",c(5995250.54812962, 1977826.81028679)
"20908","Coleoptera",c(5993687.23620948, 1978110.85258929)
"21083","Coleoptera",c(5994169.71955423, 1978101.81548325)
"21084","Coleoptera",c(5994169.71955423, 1978101.81548325)
"21151","Coleoptera",c(5996043.41777605, 1978285.18345602)
"21399","Coleoptera",c(5994169.71955423, 1978101.81548325)
"21402","Coleoptera",c(5995250.54812962, 1977826.81028679)
"21472","Coleoptera",c(5996043.41777605, 1978285.18345602)
"21473","Coleoptera",c(5996043.41777605, 1978285.18345602)
"21686","Coleoptera",c(5994169.71955423, 1978101.81548325)
"21753","Coleoptera",c(5996043.41777605, 1978285.18345602)
"21754","Coleoptera",c(5996043.41777605, 1978285.18345602)
"21991","Coleoptera",c(5994169.71955423, 1978101.81548325)
"21992","Coleoptera",c(5994985.95127727, 1978195.73981903)
"22061","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22290","Coleoptera",c(5994169.71955423, 1978101.81548325)
"22291","Coleoptera",c(5994985.95127727, 1978195.73981903)
"22357","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22358","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22594","Coleoptera",c(5994169.71955423, 1978101.81548325)
"22595","Coleoptera",c(5994985.95127727, 1978195.73981903)
"22659","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22911","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22913","Coleoptera",c(5994169.71955423, 1978101.81548325)
"22980","Coleoptera",c(5996043.41777605, 1978285.18345602)
"22981","Coleoptera",c(5996043.41777605, 1978285.18345602)
"23233","Coleoptera",c(5994169.71955423, 1978101.81548325)
"23296","Coleoptera",c(5996043.41777605, 1978285.18345602)
"23349","Coleoptera",c(5993712.61901559, 1977855.58799892)
"23373","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23477","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23478","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23491","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23492","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23493","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23494","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23495","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23496","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23497","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23498","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23499","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23500","Coleoptera",c(5993687.23620948, 1978110.85258929)
"23528","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23567","Coleoptera",c(5994723.61358023, 1977072.2951303)
"23751","Coleoptera",c(5993712.61901559, 1977855.58799892)
